center_number,last_4_digits,points,is_nssac,subject_count
124,57,21,0,6
304,69,17,0,6
304,70,5,0,6
304,72,12,0,6
124,70,12,0,6
304,75,11,0,6
124,72,27,0,6
124,73,27,0,6
303,9,34,0,6
305,6,33,0,6
303,11,19,0,6
303,13,10,0,6
305,11,28,0,6
305,12,24,0,6
303,20,16,0,6
303,21,27,0,6
303,22,17,0,6
303,23,15,0,6
305,19,23,0,6
305,20,28,0,6
303,25,19,0,6
305,21,17,0,6
303,26,30,0,6
305,22,26,0,6
305,23,25,0,6
305,24,18,0,6
303,31,12,0,6
305,30,32,0,6
305,32,28,0,6
303,35,25,0,6
303,38,11,0,6
303,39,21,0,6
305,39,29,0,6
303,42,25,0,6
305,42,23,0,6
303,43,23,0,6
305,43,20,0,6
303,44,12,0,6
305,44,27,0,6
303,45,27,0,6
305,45,28,0,6
305,49,25,0,6
305,50,13,0,6
305,54,28,0,6
306,20,18,0,6
305,58,17,0,6
305,59,19,0,6
305,61,23,0,6
306,24,8,0,6
306,25,18,0,6
305,66,22,0,6
306,28,31,0,6
306,29,21,0,6
305,69,30,0,6
305,79,21,0,6
307,3,31,0,6
307,9,14,0,6
307,17,20,0,6
308,2,10,0,6
308,11,20,0,6
308,12,19,0,6
308,15,17,0,6
308,16,13,0,6
308,19,38,0,6
308,23,12,0,6
308,25,24,0,6
308,35,16,0,6
308,38,25,0,6
308,40,22,0,6
308,43,28,0,6
308,44,32,0,6
308,50,20,0,6
308,64,14,0,6
308,70,39,0,6
308,71,26,0,6
306,8,19,0,6
309,64,23,0,6
309,68,17,0,6
309,70,22,0,6
309,79,16,0,6
309,15,25,0,6
309,23,4,0,6
309,38,15,0,6
309,43,21,0,6
309,55,18,0,6
310,8,29,0,6
310,10,11,0,6
310,16,16,0,6
310,20,17,0,6
311,2,34,0,6
311,6,6,0,6
311,17,6,0,6
312,1,31,0,6
312,2,10,0,6
312,10,21,0,6
312,21,8,0,6
312,34,23,0,6
312,41,20,0,6
312,48,12,0,6
312,55,6,0,6
312,79,0,0,6
501,79,28,0,6
313,9,17,0,6
313,13,8,0,6
313,25,8,0,6
313,50,13,0,6
313,62,26,0,6
313,69,4,0,6
501,11,22,0,6
501,28,19,0,6
501,41,35,0,6
501,53,18,0,6
501,59,34,0,6
502,17,22,0,6
501,69,32,0,6
501,74,40,0,6
501,77,15,0,6
503,37,31,0,6
503,43,13,0,6
503,48,19,0,6
502,41,27,0,6
503,51,16,0,6
503,60,27,0,6
502,52,29,0,6
503,65,11,0,6
502,55,23,0,6
502,56,24,0,6
503,71,25,0,6
503,72,14,0,6
503,73,15,0,6
502,65,37,0,6
502,77,18,0,6
504,4,22,0,6
504,7,33,0,6
504,12,30,0,6
504,18,25,0,6
503,2,11,0,6
504,26,10,0,6
504,29,24,0,6
504,31,29,0,6
503,14,17,0,6
505,6,28,0,6
505,7,26,0,6
505,9,29,0,6
503,21,22,0,6
503,25,20,0,6
503,31,20,0,6
503,32,3,0,6
505,38,32,0,6
505,41,24,0,6
505,42,19,0,6
505,51,23,0,6
505,52,20,0,6
505,56,18,0,6
505,60,18,0,6
505,64,23,0,6
505,71,26,0,6
505,72,34,0,6
505,79,36,0,6
507,2,10,0,6
506,50,26,0,6
507,14,9,0,6
507,16,13,0,6
506,60,28,0,6
507,23,14,0,6
507,24,10,0,6
506,67,17,0,6
506,69,14,0,6
507,39,17,0,6
507,52,14,0,6
507,58,13,0,6
