candidate_number,center_number,center_location,points,is_nssac,subject_count
23OA200105,23,OA,30,False,6
23OA190042,23,OA,24,False,5
23OA200106,23,OA,17,False,5
23OA190043,23,OA,8,False,5
23OA200107,23,OA,14,False,5
23OA190044,23,OA,29,False,5
23OA200108,23,OA,21,False,6
23OA190045,23,OA,24,False,5
23OA200109,23,OA,21,False,5
23OA190046,23,OA,14,False,5
23OA200110,23,OA,19,False,6
23OA190047,23,OA,11,False,5
23OA200111,23,OA,10,False,5
23OA190048,23,OA,15,False,5
23OA200112,23,OA,16,False,5
23OA190049,23,OA,11,False,5
23OA200113,23,OA,28,False,6
23OA190050,23,OA,20,False,5
23OA200114,23,OA,18,False,6
23OA190051,23,OA,20,False,5
23OA200115,23,OA,17,False,5
23OA190052,23,OA,14,False,5
23OA200116,23,OA,18,False,5
23OA190053,23,OA,28,False,5
23OA200117,23,OA,20,False,5
23OA190055,23,OA,24,False,5
23OA200118,23,OA,19,False,5
23OA190056,23,OA,23,False,5
23OA200119,23,OA,34,False,5
23OA190057,23,OA,9,False,5
23OA200120,23,OA,19,False,5
23OA190058,23,OA,14,False,5
23OA200121,23,OA,14,False,6
23OA190059,23,OA,31,False,5
23OA200122,23,OA,19,False,6
23OA190060,23,OA,13,False,5
23OA200123,23,OA,28,False,5
23OA190061,23,OA,15,False,5
23OA200124,23,OA,22,False,6
23OA190062,23,OA,12,False,5
23OA200125,23,OA,23,False,5
23OA190063,23,OA,18,False,5
23OA200126,23,OA,13,False,6
23OA190064,23,OA,23,False,5
23OA200127,23,OA,9,False,5
23OA190065,23,OA,13,False,5
23OA200128,23,OA,15,False,6
23OA190066,23,OA,14,False,5
23OA200129,23,OA,9,False,5
23OA190067,23,OA,27,False,5
23OA200130,23,OA,15,False,5
23OA190068,23,OA,17,False,5
23OA200131,23,OA,13,False,5
23OA190069,23,OA,16,False,5
23OA200132,23,OA,26,False,6
23OA190070,23,OA,10,False,5
23OA200133,23,OA,34,False,5
23OA190071,23,OA,20,False,5
23OA200134,23,OA,20,False,6
23OA190072,23,OA,10,False,5
23OA200135,23,OA,23,False,5
23OA190073,23,OA,19,False,5
23OA200136,23,OA,7,False,5
23OA190074,23,OA,17,False,5
23OA200137,23,OA,6,False,5
23OA190075,23,OA,15,False,5
23OA200138,23,OA,33,False,6
23OA190076,23,OA,17,False,5
23OA200139,23,OA,11,False,5
23OA190077,23,OA,14,False,5
23OA200140,23,OA,28,False,5
23OA190078,23,OA,19,False,5
23OA200141,23,OA,32,False,6
23OA190079,23,OA,15,False,5
23OA200142,23,OA,20,False,5
23OA190080,23,OA,17,False,5
23OA200143,23,OA,12,False,5
23OA190081,23,OA,22,False,5
23OA200144,23,OA,20,False,5
23OA190082,23,OA,29,False,5
23OA200145,23,OA,14,False,6
23OA190083,23,OA,13,False,5
23OA200146,23,OA,29,False,5
23OA190084,23,OA,24,False,5
23OA200147,23,OA,21,False,6
23OA190085,23,OA,21,False,5
23OA200148,23,OA,21,False,6
23OA190087,23,OA,16,False,5
23OA200149,23,OA,9,False,5
23OA190089,23,OA,29,False,5
23OA200150,23,OA,16,False,5
23OA190090,23,OA,16,False,5
23OA200151,23,OA,18,False,5
23OA190091,23,OA,10,False,5
23OA200152,23,OA,23,False,5
23OA190092,23,OA,22,False,5
23OA200153,23,OA,17,False,6
23OA190093,23,OA,16,False,5
23OA200154,23,OA,22,False,6
23OA200001,23,OA,18,False,5
23OA200155,23,OA,24,False,6
23OA200002,23,OA,32,False,5
23OA200156,23,OA,17,False,6
23OA200003,23,OA,22,False,5
23OA200157,23,OA,6,False,5
23OA200004,23,OA,26,False,5
23OA200158,23,OA,27,False,5
23OA200005,23,OA,21,False,5
23OA200159,23,OA,16,False,6
23OA200006,23,OA,17,False,5
23OA200160,23,OA,26,False,5
23OA200007,23,OA,11,False,5
23OA200161,23,OA,20,False,5
23OA200008,23,OA,14,False,5
23OA200162,23,OA,31,False,6
23OA200009,23,OA,11,False,5
23OA200163,23,OA,19,False,6
23OA200010,23,OA,22,False,5
23OA200164,23,OA,27,False,6
23OA200011,23,OA,8,False,5
23OA200165,23,OA,21,False,6
23OA200012,23,OA,19,False,5
23OA200166,23,OA,25,False,5
23OA200013,23,OA,33,False,5
23OA200167,23,OA,26,False,5
23OA200014,23,OA,23,False,5
23OA200168,23,OA,26,False,5
23OA200015,23,OA,19,False,5
23OA200169,23,OA,24,False,5
23OA200016,23,OA,8,False,5
23OA200170,23,OA,10,False,5
23OA200017,23,OA,8,False,5
23OA200171,23,OA,21,False,6
23OA200018,23,OA,29,False,5
23OA200172,23,OA,22,False,6
23OA200019,23,OA,0,False,5
23OA200173,23,OA,12,False,6
23OA200020,23,OA,19,False,5
23OA200174,23,OA,20,False,5
23OA200021,23,OA,28,False,5
23OA200175,23,OA,22,False,5
23OA200022,23,OA,21,False,5
23OA200176,23,OA,7,False,5
23OA200023,23,OA,14,False,5
23OA200177,23,OA,26,False,6
23OA200024,23,OA,9,False,5
23OA200178,23,OA,15,False,5
23OA200025,23,OA,10,False,5
23OA200179,23,OA,18,False,6
23OA200026,23,OA,19,False,5
23OA200180,23,OA,14,False,5
23OA200027,23,OA,30,False,5
23OA200181,23,OA,11,False,5
23OA200028,23,OA,21,False,5
23OA200182,23,OA,32,False,5
23OA200029,23,OA,21,False,5
23OA200183,23,OA,18,False,6
23OA200030,23,OA,12,False,5
23OA200184,23,OA,24,False,5
23OA200031,23,OA,25,False,5
23OA200185,23,OA,28,False,6
23OA200032,23,OA,27,False,5
23OA200186,23,OA,29,False,5
23OA200033,23,OA,16,False,5
23OA200187,23,OA,18,False,5
23OA200034,23,OA,23,False,5
23OA200188,23,OA,28,False,5
23OA200035,23,OA,23,False,5
23OA200189,23,OA,25,False,6
23OA200037,23,OA,27,False,5
23OA200190,23,OA,22,False,6
23OA200038,23,OA,14,False,5
23OA200191,23,OA,23,False,5
23OA200039,23,OA,16,False,5
23OA200192,23,OA,14,False,6
23OA200040,23,OA,20,False,5
23OA200193,23,OA,14,False,6
23OA200198,23,OA,26,False,5
23OA200200,23,OA,18,False,5
23OA200202,23,OA,9,False,5
23OA200210,23,OA,9,False,5
23OA200211,23,OA,22,False,5
23OC030068,23,OC,11,False,7
23OA200212,23,OA,27,False,5
23OC030069,23,OC,17,False,6
23OA200213,23,OA,16,False,5
23OC030070,23,OC,26,False,6
23OA200214,23,OA,10,False,5
23OC030071,23,OC,6,False,6
23OA200215,23,OA,22,False,5
23OC030072,23,OC,20,False,7
23OA200216,23,OA,23,False,5
23OC030073,23,OC,8,False,6
23OA200217,23,OA,17,False,5
23OC030074,23,OC,12,False,6
