center_number,last_4_digits,points,is_nssac,subject_count
112,118,16,0,6
112,125,22,0,6
110,29,19,0,6
112,134,21,0,6
111,4,30,0,6
111,5,20,0,6
112,140,24,0,6
112,141,26,0,6
111,15,22,0,6
111,23,34,0,6
111,25,38,0,6
114,5,18,0,6
114,7,14,0,6
111,34,11,0,6
114,12,14,0,6
111,39,22,0,6
111,41,24,0,6
111,44,17,0,6
115,2,18,0,6
111,54,18,0,6
111,57,28,0,6
115,9,24,0,6
112,4,18,0,6
115,12,30,0,6
115,15,22,0,6
115,17,26,0,6
112,12,19,0,6
112,15,9,0,6
112,20,17,0,6
115,33,29,0,6
120,46,15,0,6
120,50,35,0,6
115,41,22,0,6
115,42,23,0,6
120,54,26,0,6
115,49,30,0,6
120,61,13,0,6
120,62,21,0,6
115,53,23,0,6
115,54,14,0,6
120,64,16,0,6
120,68,19,0,6
120,69,16,0,6
120,73,10,0,6
120,78,22,0,6
120,80,21,0,6
120,86,20,0,6
120,90,20,0,6
120,94,20,0,6
120,99,20,0,6
120,103,26,0,6
120,104,22,0,6
120,105,30,0,6
120,108,21,0,6
120,110,19,0,6
120,113,28,0,6
120,114,18,0,6
120,121,14,0,6
120,122,19,0,6
120,124,22,0,6
120,126,13,0,6
120,128,15,0,6
120,132,26,0,6
120,134,20,0,6
120,138,33,0,6
120,141,32,0,6
120,145,14,0,6
120,147,21,0,6
120,148,21,0,6
120,153,17,0,6
120,154,22,0,6
120,155,24,0,6
120,156,17,0,6
120,159,16,0,6
120,162,31,0,6
120,163,19,0,6
120,164,27,0,6
120,165,21,0,6
120,171,21,0,6
120,172,22,0,6
120,173,12,0,6
120,177,26,0,6
120,179,18,0,6
120,183,18,0,6
120,185,28,0,6
120,189,25,0,6
120,190,22,0,6
120,192,14,0,6
120,193,14,0,6
303,69,17,0,6
303,70,26,0,6
303,71,6,0,6
303,73,8,0,6
303,74,12,0,6
303,75,19,0,6
303,76,13,0,6
303,78,24,0,6
303,79,18,0,6
303,81,16,0,6
120,226,21,0,6
120,228,20,0,6
304,6,21,0,6
304,11,8,0,6
304,16,10,0,6
124,8,19,0,6
304,26,3,0,6
304,30,10,0,6
304,32,6,0,6
124,24,32,0,6
124,30,29,0,6
304,42,19,0,6
304,44,16,0,6
124,40,26,0,6
304,49,12,0,6
304,50,16,0,6
304,52,11,0,6
304,54,16,0,6
124,53,23,0,6
304,61,9,0,6
124,56,19,0,6
124,57,21,0,6
304,69,17,0,6
304,70,5,0,6
304,72,12,0,6
124,70,12,0,6
304,75,11,0,6
124,72,27,0,6
124,73,27,0,6
303,9,34,0,6
305,6,33,0,6
303,11,19,0,6
303,13,10,0,6
305,11,28,0,6
305,12,24,0,6
303,20,16,0,6
303,21,27,0,6
303,22,17,0,6
303,23,15,0,6
305,19,23,0,6
305,20,28,0,6
303,25,19,0,6
305,21,17,0,6
303,26,30,0,6
305,22,26,0,6
305,23,25,0,6
305,24,18,0,6
303,31,12,0,6
305,30,32,0,6
305,32,28,0,6
303,35,25,0,6
303,38,11,0,6
303,39,21,0,6
305,39,29,0,6
303,42,25,0,6
305,42,23,0,6
303,43,23,0,6
305,43,20,0,6
303,44,12,0,6
305,44,27,0,6
303,45,27,0,6
305,45,28,0,6
305,49,25,0,6
305,50,13,0,6
305,54,28,0,6
306,20,18,0,6
305,58,17,0,6
305,59,19,0,6
305,61,23,0,6
306,24,8,0,6
306,25,18,0,6
305,66,22,0,6
306,28,31,0,6
306,29,21,0,6
305,69,30,0,6
305,79,21,0,6
307,3,31,0,6
305,83,14,0,6
307,9,14,0,6
305,86,16,0,6
305,87,26,0,6
305,92,23,0,6
307,17,20,0,6
305,96,23,0,6
305,98,25,0,6
305,100,27,0,6
305,116,17,0,6
305,121,21,0,6
305,122,43,0,6
305,133,20,0,6
308,2,10,0,6
305,146,24,0,6
308,11,20,0,6
308,12,19,0,6
305,150,14,0,6
308,15,17,0,6
308,16,13,0,6
308,19,38,0,6
305,157,22,0,6
305,158,21,0,6
305,159,14,0,6
308,23,12,0,6
305,161,33,0,6
308,25,24,0,6
305,163,22,0,6
305,164,28,0,6
308,35,16,0,6
308,38,25,0,6
308,40,22,0,6
308,43,28,0,6
308,44,32,0,6
308,50,20,0,6
308,64,14,0,6
305,209,34,0,6
308,70,39,0,6
308,71,26,0,6
305,212,13,0,6
305,213,24,0,6
305,215,18,0,6
305,216,16,0,6
306,8,19,0,6
308,94,19,0,6
308,95,26,0,6
308,101,25,0,6
309,64,23,0,6
309,68,17,0,6
309,70,22,0,6
308,117,14,0,6
309,79,16,0,6
308,121,20,0,6
308,122,23,0,6
309,82,19,0,6
308,135,25,0,6
308,136,12,0,6
308,139,36,0,6
308,140,21,0,6
308,141,0,0,6
308,146,24,0,6
309,105,14,0,6
309,113,28,0,6
309,115,15,0,6
308,165,20,0,6
308,166,9,0,6
308,176,9,0,6
309,135,20,0,6
308,184,18,0,6
309,147,22,0,6
308,194,24,0,6
308,199,16,0,6
308,201,26,0,6
308,202,4,0,6
309,159,32,0,6
308,207,12,0,6
309,163,17,0,6
309,167,4,0,6
308,215,16,0,6
309,172,19,0,6
308,219,24,0,6
308,220,25,0,6
308,224,25,0,6
308,226,23,0,6
309,193,19,0,6
309,195,9,0,6
309,197,10,0,6
309,15,25,0,6
309,202,12,0,6
309,23,4,0,6
309,218,11,0,6
309,38,15,0,6
309,43,21,0,6
309,55,18,0,6
309,246,17,0,6
309,250,17,0,6
312,100,36,0,6
309,253,15,0,6
312,107,36,0,6
309,260,15,0,6
309,272,14,0,6
309,275,13,0,6
312,125,26,0,6
310,8,29,0,6
310,10,11,0,6
312,137,22,0,6
310,16,16,0,6
310,20,17,0,6
312,147,23,0,6
312,150,17,0,6
312,153,17,0,6
312,154,20,0,6
312,156,13,0,6
311,2,34,0,6
311,6,6,0,6
312,164,7,0,6
312,165,21,0,6
312,169,23,0,6
311,17,6,0,6
312,1,31,0,6
312,2,10,0,6
312,175,27,0,6
312,182,25,0,6
312,10,21,0,6
312,21,8,0,6
312,195,13,0,6
312,197,10,0,6
312,198,16,0,6
312,34,23,0,6
312,207,13,0,6
312,208,16,0,6
312,209,27,0,6
312,41,20,0,6
312,216,13,0,6
312,218,11,0,6
312,48,12,0,6
312,55,6,0,6
312,226,18,0,6
312,228,11,0,6
312,79,0,0,6
312,90,13,0,6
501,79,28,0,6
312,281,0,0,6
312,284,19,0,6
501,106,16,0,6
313,9,17,0,6
501,112,40,0,6
313,13,8,0,6
501,119,23,0,6
313,25,8,0,6
501,132,26,0,6
501,138,30,0,6
501,146,27,0,6
501,149,18,0,6
313,50,13,0,6
501,162,25,0,6
313,62,26,0,6
313,69,4,0,6
501,171,21,0,6
501,176,20,0,6
313,82,7,0,6
501,192,31,0,6
501,194,21,0,6
501,203,34,0,6
501,11,22,0,6
501,207,28,0,6
501,28,19,0,6
501,224,16,0,6
501,225,14,0,6
501,41,35,0,6
501,233,16,0,6
501,53,18,0,6
501,59,34,0,6
502,17,22,0,6
501,69,32,0,6
501,74,40,0,6
501,77,15,0,6
503,37,31,0,6
503,43,13,0,6
503,48,19,0,6
502,41,27,0,6
503,51,16,0,6
503,60,27,0,6
502,52,29,0,6
503,65,11,0,6
502,55,23,0,6
502,56,24,0,6
503,71,25,0,6
503,72,14,0,6
503,73,15,0,6
502,65,37,0,6
502,77,18,0,6
503,93,17,0,6
502,80,16,0,6
502,86,20,0,6
503,105,23,0,6
502,99,19,0,6
502,101,20,0,6
502,111,35,0,6
503,131,18,0,6
503,132,19,0,6
502,119,24,0,6
503,142,9,0,6
502,134,26,0,6
503,155,24,0,6
502,136,29,0,6
502,139,35,0,6
502,142,23,0,6
502,145,15,0,6
504,4,22,0,6
502,154,19,0,6
504,7,33,0,6
502,157,23,0,6
504,12,30,0,6
504,18,25,0,6
503,2,11,0,6
504,26,10,0,6
504,29,24,0,6
504,31,29,0,6
503,14,17,0,6
505,6,28,0,6
505,7,26,0,6
505,9,29,0,6
503,21,22,0,6
503,25,20,0,6
503,31,20,0,6
503,32,3,0,6
506,95,25,0,6
505,38,32,0,6
505,41,24,0,6
505,42,19,0,6
505,51,23,0,6
505,52,20,0,6
506,109,10,0,6
505,56,18,0,6
505,60,18,0,6
506,115,18,0,6
505,64,23,0,6
506,120,23,0,6
505,71,26,0,6
505,72,34,0,6
506,125,34,0,6
506,126,22,0,6
505,79,36,0,6
505,89,18,0,6
505,95,24,0,6
505,99,25,0,6
506,143,27,0,6
505,105,21,0,6
506,149,8,0,6
506,157,21,0,6
506,163,22,0,6
506,166,24,0,6
506,172,33,0,6
506,174,27,0,6
506,177,35,0,6
506,179,17,0,6
506,180,7,0,6
506,183,35,0,6
506,186,20,0,6
506,189,27,0,6
506,193,10,0,6
507,2,10,0,6
506,50,26,0,6
507,14,9,0,6
507,16,13,0,6
506,60,28,0,6
507,23,14,0,6
507,24,10,0,6
506,67,17,0,6
506,69,14,0,6
507,39,17,0,6
506,88,21,0,6
507,52,14,0,6
507,58,13,0,6
508,101,7,0,6
507,60,9,0,6
508,103,27,0,6
508,106,14,0,6
508,108,15,0,6
508,115,9,0,6
508,116,18,0,6
507,79,22,0,6
507,82,34,0,6
508,125,26,0,6
507,86,7,0,6
508,127,30,0,6
507,88,10,0,6
508,129,14,0,6
507,90,21,0,6
508,132,11,0,6
508,133,19,0,6
507,104,13,0,6
508,142,18,0,6
508,145,17,0,6
508,146,16,0,6
507,115,18,0,6
507,116,25,0,6
508,152,24,0,6
508,2,15,0,6
508,4,8,0,6
508,6,6,0,6
508,8,19,0,6
508,10,26,0,6
508,163,10,0,6
508,12,14,0,6
508,165,9,0,6
508,14,7,0,6
508,16,22,0,6
508,18,3,0,6
508,20,23,0,6
508,22,11,0,6
508,24,28,0,6
508,26,30,0,6
508,28,9,0,6
508,181,26,0,6
508,30,27,0,6
508,183,12,0,6
508,32,10,0,6
508,34,17,0,6
508,36,10,0,6
508,189,18,0,6
508,38,32,0,6
508,40,7,0,6
508,193,20,0,6
508,42,0,0,6
508,195,8,0,6
508,44,8,0,6
508,46,9,0,6
508,199,8,0,6
508,48,22,0,6
508,50,13,0,6
508,52,19,0,6
508,54,23,0,6
508,56,9,0,6
508,58,21,0,6
508,211,11,0,6
508,60,9,0,6
508,213,20,0,6
508,62,16,0,6
508,64,8,0,6
508,66,7,0,6
508,68,12,0,6
508,221,7,0,6
508,70,17,0,6
508,223,9,0,6
508,72,15,0,6
508,74,3,0,6
508,227,15,0,6
508,76,22,0,6
508,229,25,0,6
508,78,22,0,6
508,80,0,0,6
508,82,5,0,6
508,235,24,0,6
508,84,12,0,6
508,86,17,0,6
508,88,5,0,6
508,242,29,0,6
508,90,8,0,6
508,244,9,0,6
508,92,4,0,6
508,246,12,0,6
508,94,12,0,6
508,96,12,0,6
508,251,9,0,6
509,8,29,0,6
510,3,19,0,6
510,14,20,0,6
510,15,10,0,6
510,23,15,0,6
509,33,25,0,6
510,35,29,0,6
510,40,23,0,6
510,42,20,0,6
509,44,27,0,6
510,58,23,0,6
509,62,37,0,6
509,64,25,0,6
510,75,17,0,6
509,70,17,0,6
510,92,16,0,6
510,97,19,0,6
509,85,20,0,6
509,86,27,0,6
509,90,25,0,6
509,102,31,0,6
510,130,17,0,6
509,112,38,0,6
510,137,14,0,6
509,115,28,0,6
509,119,31,0,6
509,121,26,0,6
509,123,32,0,6
509,125,23,0,6
509,127,31,0,6
509,129,23,0,6
509,131,31,0,6
511,14,22,0,6
509,133,24,0,6
509,135,17,0,6
511,18,18,0,6
509,137,41,0,6
509,139,36,0,6
509,141,34,0,6
509,143,28,0,6
509,145,35,0,6
511,28,13,0,6
511,180,11,0,6
511,185,16,0,6
511,187,34,0,6
511,190,18,0,6
511,192,13,0,6
511,193,10,0,6
511,195,24,0,6
511,196,22,0,6
511,197,13,0,6
511,198,25,0,6
511,199,18,0,6
511,202,22,0,6
511,210,13,0,6
511,212,34,0,6
511,66,14,0,6
511,70,22,0,6
513,13,24,0,6
513,17,15,0,6
511,79,24,0,6
511,81,4,0,6
511,92,11,0,6
511,100,24,0,6
511,106,28,0,6
511,109,15,0,6
513,57,6,0,6
513,58,27,0,6
513,59,14,0,6
511,113,9,0,6
513,64,21,0,6
513,65,4,0,6
511,118,17,0,6
511,125,25,0,6
513,79,30,0,6
511,129,24,0,6
513,89,18,0,6
513,90,12,0,6
511,139,26,0,6
513,93,21,0,6
513,100,13,0,6
511,148,22,0,6
514,18,14,0,6
514,20,15,0,6
511,170,26,0,6
511,174,16,0,6
514,28,15,0,6
514,29,15,0,6
511,178,19,0,6
514,35,7,0,6
517,6,19,0,6
514,37,7,0,6
514,39,3,0,6
517,10,20,0,6
514,41,16,0,6
517,12,13,0,6
517,20,28,0,6
517,22,15,0,6
517,23,29,0,6
517,25,19,0,6
516,6,17,0,6
516,7,25,0,6
517,30,15,0,6
517,34,19,0,6
517,38,11,0,6
516,20,9,0,6
517,41,19,0,6
516,22,14,0,6
517,43,25,0,6
517,44,12,0,6
517,47,13,0,6
516,31,17,0,6
516,32,21,0,6
516,34,12,0,6
517,55,19,0,6
516,38,13,0,6
516,39,19,0,6
516,43,24,0,6
516,49,21,0,6
516,51,22,0,6
516,61,12,0,6
516,70,23,0,6
517,86,10,0,6
517,87,31,0,6
517,89,12,0,6
517,91,30,0,6
517,92,19,0,6
516,85,23,0,6
516,86,28,0,6
516,92,22,0,6
516,96,10,0,6
517,104,21,0,6
516,100,8,0,6
517,107,29,0,6
516,104,31,0,6
516,105,18,0,6
2161,302,13,0,6
2161,303,24,0,6
2161,304,32,0,6
2161,312,23,0,6
2166,94,35,0,6
2162,2,31,0,6
2167,17,23,0,6
2167,29,35,0,6
2167,31,15,0,6
2167,33,11,0,6
2167,37,19,0,6
2167,39,18,0,6
2171,5,10,0,6
2165,33,25,0,6
2165,49,29,0,6
2171,26,16,0,6
2166,4,27,0,6
2171,37,18,0,6
2166,14,22,0,6
2173,11,14,0,6
2166,26,19,0,6
2166,29,19,0,6
2166,30,24,0,6
2173,30,16,0,6
2205,23,20,0,6
2205,25,18,0,6
2173,37,33,0,6
2173,40,23,0,6
2173,43,14,0,6
2209,11,28,0,6
2175,5,14,0,6
2175,8,14,0,6
2303,3,19,0,6
2303,11,18,0,6
2303,13,12,0,6
2303,16,16,0,6
2175,25,11,0,6
2303,31,14,0,6
2175,35,1,0,6
2175,38,23,0,6
2175,40,12,0,6
2303,42,16,0,6
2303,44,19,0,6
2303,45,12,0,6
2175,45,15,0,6
2303,50,15,0,6
2176,8,25,0,6
2176,16,37,0,6
2176,17,32,0,6
2303,72,9,0,6
2303,75,17,0,6
2303,81,30,0,6
2180,4,23,0,6
2180,7,23,0,6
2180,11,22,0,6
2180,12,6,0,6
2308,11,39,0,6
2308,12,30,0,6
2180,18,28,0,6
2180,27,23,0,6
2308,21,37,0,6
2308,25,30,0,6
2180,38,19,0,6
2308,29,36,0,6
2180,46,33,0,6
2308,35,27,0,6
2186,1,19,0,6
2308,42,33,0,6
2186,9,25,0,6
2186,19,17,0,6
2186,23,21,0,6
2309,13,0,0,6
2310,21,14,0,6
2309,16,34,0,6
2310,25,15,0,6
2309,21,8,0,6
2310,31,14,0,6
2310,37,24,0,6
2309,28,33,0,6
2310,42,13,0,6
2309,36,31,0,6
2310,51,21,0,6
2310,52,12,0,6
2310,53,16,0,6
2309,45,13,0,6
2310,64,12,0,6
2310,68,16,0,6
2310,69,14,0,6
2309,56,20,0,6
2310,74,14,0,6
2310,80,14,0,6
2310,81,15,0,6
2309,72,17,0,6
2310,97,19,0,6
2310,100,20,0,6
2309,79,29,0,6
2309,83,16,0,6
2309,85,19,0,6
2310,110,13,0,6
2311,2,17,0,6
2309,101,0,0,6
2309,103,21,0,6
2309,105,13,0,6
2309,107,26,0,6
2309,109,21,0,6
2309,111,19,0,6
2309,113,5,0,6
2311,16,16,0,6
2309,115,26,0,6
2309,117,16,0,6
2309,120,16,0,6
2309,122,19,0,6
2309,124,11,0,6
2309,126,3,0,6
2309,128,33,0,6
2309,130,26,0,6
2311,32,20,0,6
2309,132,25,0,6
2311,34,31,0,6
2309,134,14,0,6
2311,36,12,0,6
2309,136,29,0,6
2309,138,36,0,6
2309,140,28,0,6
2309,142,26,0,6
2309,144,7,0,6
2309,146,32,0,6
2309,148,16,0,6
2310,2,18,0,6
2310,13,24,0,6
2314,19,24,0,6
2311,70,20,0,6
2314,27,13,0,6
2311,79,16,0,6
2314,34,24,0,6
2314,35,24,0,6
2314,42,26,0,6
2314,43,16,0,6
2314,44,18,0,6
2323,5,18,0,6
2313,9,26,0,6
2313,19,19,0,6
2313,24,24,0,6
2323,40,20,0,6
2323,41,27,0,6
2313,44,21,0,6
2324,14,13,0,6
2314,1,15,0,6
2324,24,22,0,6
2345,44,32,0,6
2350,13,19,0,6
2350,15,19,0,6
2350,19,28,0,6
2350,23,20,0,6
2350,33,16,0,6
2350,37,14,0,6
2350,51,23,0,6
2350,58,10,0,6
2357,5,15,0,6
2329,10,27,0,6
2357,12,21,0,6
2357,16,17,0,6
2357,20,19,0,6
2358,6,17,0,6
2358,8,22,0,6
2358,10,15,0,6
2358,11,30,0,6
2358,13,16,0,6
2358,19,20,0,6
2358,23,23,0,6
2358,25,15,0,6
2358,29,22,0,6
2359,1,21,0,6
2359,4,14,0,6
2359,22,28,0,6
2363,6,13,0,6
2363,8,17,0,6
2363,27,19,0,6
2363,39,22,0,6
2345,12,17,0,6
2345,14,15,0,6
2345,18,11,0,6
2345,24,18,0,6
2345,35,12,0,6
2345,39,28,0,6
2363,86,16,0,6
2363,90,25,0,6
2364,7,10,0,6
2364,12,28,0,6
2364,23,23,0,6
2364,30,0,0,6
2364,36,27,0,6
2364,37,21,0,6
2364,43,24,0,6
2369,5,16,0,6
2369,12,26,0,6
2369,15,15,0,6
2369,16,29,0,6
2369,22,28,0,6
2369,28,23,0,6
2369,32,17,0,6
2369,37,20,0,6
2502,67,21,0,6
2502,68,30,0,6
2502,75,17,0,6
2502,77,17,0,6
2502,85,24,0,6
2502,88,30,0,6
2502,98,19,0,6
2502,101,22,0,6
2502,103,19,0,6
2502,104,15,0,6
2502,107,27,0,6
2502,108,12,0,6
2502,110,15,0,6
2502,116,27,0,6
2502,120,21,0,6
2502,124,18,0,6
2502,130,18,0,6
2502,131,20,0,6
2502,136,13,0,6
2502,141,18,0,6
2502,142,30,0,6
2502,145,20,0,6
2502,177,15,0,6
2502,180,24,0,6
2502,182,16,0,6
2502,184,13,0,6
2502,186,31,0,6
2502,188,23,0,6
2502,194,19,0,6
2502,198,18,0,6
2502,2,21,0,6
2502,206,22,0,6
2502,8,10,0,6
2502,9,24,0,6
2502,212,17,0,6
2502,19,24,0,6
2502,230,19,0,6
2502,34,22,0,6
2502,35,14,0,6
